EDA,timestamp,period
0.002562,08:17:58,pre-test
0.001281,08:17:59,pre-test
0.001281,08:17:59,pre-test
0.001281,08:17:59,pre-test
0.0,08:17:59,pre-test
0.001281,08:18:00,pre-test
0.002562,08:18:00,pre-test
0.002562,08:18:00,pre-test
0.003843,08:18:00,pre-test
0.001281,08:18:01,pre-test
0.0,08:18:01,pre-test
0.0,08:18:01,pre-test
0.001281,08:18:01,pre-test
0.001281,08:18:02,pre-test
0.0,08:18:02,pre-test
0.001281,08:18:02,pre-test
0.0,08:18:02,pre-test
0.002562,08:18:03,pre-test
0.001281,08:18:03,pre-test
0.0,08:18:03,pre-test
0.0,08:18:03,pre-test
0.001281,08:18:04,pre-test
0.0,08:18:04,pre-test
0.003843,08:18:04,pre-test
0.001281,08:18:04,pre-test
0.0,08:18:05,pre-test
0.001281,08:18:05,pre-test
0.001281,08:18:05,pre-test
0.0,08:18:05,pre-test
0.001281,08:18:06,pre-test
0.001281,08:18:06,pre-test
0.0,08:18:06,pre-test
0.001281,08:18:06,pre-test
0.0,08:18:07,pre-test
0.001281,08:18:07,pre-test
0.0,08:18:07,pre-test
0.0,08:18:07,pre-test
0.0,08:18:08,pre-test
0.001281,08:18:08,pre-test
0.0,08:18:08,pre-test
0.001281,08:18:08,pre-test
0.0,08:18:09,pre-test
0.0,08:18:09,pre-test
0.001281,08:18:09,pre-test
0.001281,08:18:09,pre-test
0.001281,08:18:10,pre-test
0.001281,08:18:10,pre-test
0.001281,08:18:10,pre-test
0.0,08:18:10,pre-test
0.0,08:18:11,pre-test
0.0,08:18:11,pre-test
0.0,08:18:11,pre-test
0.001281,08:18:11,pre-test
0.0,08:18:12,pre-test
0.0,08:18:12,pre-test
0.002562,08:18:12,pre-test
0.0,08:18:12,pre-test
0.002562,08:18:13,pre-test
0.001281,08:18:13,pre-test
0.001281,08:18:13,pre-test
0.002562,08:18:13,pre-test
0.001281,08:18:14,pre-test
0.0,08:18:14,pre-test
0.002562,08:18:14,pre-test
0.0,08:18:14,pre-test
0.0,08:18:15,pre-test
0.002562,08:18:15,pre-test
0.001281,08:18:15,pre-test
0.001281,08:18:15,pre-test
0.001281,08:18:16,pre-test
0.001281,08:18:16,pre-test
0.0,08:18:16,pre-test
0.0,08:18:16,pre-test
0.002562,08:18:17,pre-test
0.001281,08:18:17,pre-test
0.001281,08:18:17,pre-test
0.0,08:18:17,pre-test
0.0,08:18:18,pre-test
0.001281,08:18:18,pre-test
0.001281,08:18:18,pre-test
0.0,08:18:18,pre-test
0.001281,08:18:19,pre-test
0.0,08:18:19,pre-test
0.001281,08:18:19,pre-test
0.0,08:18:19,pre-test
0.0,08:18:20,pre-test
0.0,08:18:20,pre-test
0.001281,08:18:20,pre-test
0.0,08:18:20,pre-test
0.005124,08:18:21,pre-test
0.001281,08:18:21,pre-test
0.0,08:18:21,pre-test
0.002562,08:18:21,pre-test
0.001281,08:18:22,pre-test
0.001281,08:18:22,pre-test
