TEMP,timestamp,period
22.23,10:31:44,in-test
22.23,10:31:44,in-test
22.23,10:31:44,in-test
22.23,10:31:45,in-test
22.23,10:31:45,in-test
22.23,10:31:45,in-test
22.23,10:31:45,in-test
22.19,10:31:46,in-test
22.19,10:31:46,in-test
22.19,10:31:46,in-test
22.19,10:31:46,in-test
22.23,10:31:47,in-test
22.23,10:31:47,in-test
22.23,10:31:47,in-test
22.23,10:31:47,in-test
22.23,10:31:48,in-test
22.23,10:31:48,in-test
22.23,10:31:48,in-test
22.23,10:31:48,in-test
22.23,10:31:49,in-test
22.23,10:31:49,in-test
22.23,10:31:49,in-test
22.23,10:31:49,in-test
22.19,10:31:50,in-test
22.19,10:31:50,in-test
22.19,10:31:50,in-test
22.19,10:31:50,in-test
22.19,10:31:51,in-test
22.19,10:31:51,in-test
22.19,10:31:51,in-test
22.19,10:31:51,in-test
22.21,10:31:52,in-test
22.21,10:31:52,in-test
22.21,10:31:52,in-test
22.21,10:31:52,in-test
22.21,10:31:53,in-test
22.21,10:31:53,in-test
22.21,10:31:53,in-test
22.21,10:31:53,in-test
22.23,10:31:54,in-test
22.23,10:31:54,in-test
22.23,10:31:54,in-test
22.23,10:31:54,in-test
22.21,10:31:55,in-test
22.21,10:31:55,in-test
22.21,10:31:55,in-test
22.21,10:31:55,in-test
22.21,10:31:56,in-test
22.21,10:31:56,in-test
22.21,10:31:56,in-test
22.21,10:31:56,in-test
22.21,10:31:57,in-test
22.21,10:31:57,in-test
22.21,10:31:57,in-test
22.21,10:31:57,in-test
22.23,10:31:58,in-test
22.23,10:31:58,in-test
22.23,10:31:58,in-test
22.23,10:31:58,in-test
22.25,10:31:59,in-test
22.25,10:31:59,in-test
22.25,10:31:59,in-test
22.25,10:31:59,in-test
22.23,10:32:00,in-test
22.23,10:32:00,in-test
22.23,10:32:00,in-test
22.23,10:32:00,in-test
22.25,10:32:01,in-test
22.25,10:32:01,in-test
22.25,10:32:01,in-test
22.25,10:32:01,in-test
22.21,10:32:02,in-test
22.21,10:32:02,in-test
22.21,10:32:02,in-test
22.21,10:32:02,in-test
22.25,10:32:03,in-test
22.25,10:32:03,in-test
22.25,10:32:03,in-test
22.25,10:32:03,in-test
22.25,10:32:04,in-test
22.25,10:32:04,in-test
22.25,10:32:04,in-test
22.25,10:32:04,in-test
22.25,10:32:05,in-test
22.25,10:32:05,in-test
22.25,10:32:05,in-test
22.25,10:32:05,in-test
22.25,10:32:06,in-test
22.25,10:32:06,in-test
22.25,10:32:06,in-test
22.25,10:32:06,in-test
22.23,10:32:07,in-test
22.23,10:32:07,in-test
22.23,10:32:07,in-test
22.23,10:32:07,in-test
22.21,10:32:08,in-test
22.21,10:32:08,in-test
22.21,10:32:08,in-test
22.21,10:32:08,in-test
22.21,10:32:09,in-test
22.21,10:32:09,in-test
22.21,10:32:09,in-test
22.21,10:32:09,in-test
22.25,10:32:10,in-test
22.25,10:32:10,in-test
22.25,10:32:10,in-test
22.25,10:32:10,in-test
22.35,10:32:11,in-test
22.35,10:32:11,in-test
22.35,10:32:11,in-test
22.35,10:32:11,in-test
22.33,10:32:12,in-test
22.33,10:32:12,in-test
22.33,10:32:12,in-test
22.33,10:32:12,in-test
22.25,10:32:13,in-test
22.25,10:32:13,in-test
22.25,10:32:13,in-test
22.25,10:32:13,in-test
22.25,10:32:14,in-test
22.25,10:32:14,in-test
22.25,10:32:14,in-test
22.25,10:32:14,in-test
22.27,10:32:15,in-test
22.27,10:32:15,in-test
22.27,10:32:15,in-test
22.27,10:32:15,in-test
22.27,10:32:16,in-test
22.27,10:32:16,in-test
22.27,10:32:16,in-test
22.27,10:32:16,in-test
22.27,10:32:17,in-test
22.27,10:32:17,in-test
22.27,10:32:17,in-test
22.27,10:32:17,in-test
22.27,10:32:18,in-test
22.27,10:32:18,in-test
22.27,10:32:18,in-test
22.27,10:32:18,in-test
22.29,10:32:19,in-test
22.29,10:32:19,in-test
22.29,10:32:19,in-test
22.29,10:32:19,in-test
22.29,10:32:20,in-test
22.29,10:32:20,in-test
22.29,10:32:20,in-test
22.29,10:32:20,in-test
22.29,10:32:21,in-test
22.29,10:32:21,in-test
22.29,10:32:21,in-test
22.29,10:32:21,in-test
22.29,10:32:22,in-test
22.29,10:32:22,in-test
22.29,10:32:22,in-test
22.29,10:32:22,in-test
22.33,10:32:23,in-test
22.33,10:32:23,in-test
22.33,10:32:23,in-test
22.33,10:32:23,in-test
22.33,10:32:24,in-test
22.33,10:32:24,in-test
22.33,10:32:24,in-test
22.33,10:32:24,in-test
22.31,10:32:25,in-test
22.31,10:32:25,in-test
22.31,10:32:25,in-test
22.31,10:32:25,in-test
22.33,10:32:26,in-test
22.33,10:32:26,in-test
22.33,10:32:26,in-test
22.33,10:32:26,in-test
22.31,10:32:27,in-test
22.31,10:32:27,in-test
22.31,10:32:27,in-test
22.31,10:32:27,in-test
22.31,10:32:28,in-test
22.31,10:32:28,in-test
22.31,10:32:28,in-test
22.31,10:32:28,in-test
22.35,10:32:29,in-test
22.35,10:32:29,in-test
22.35,10:32:29,in-test
22.35,10:32:29,in-test
22.33,10:32:30,in-test
22.33,10:32:30,in-test
22.33,10:32:30,in-test
22.33,10:32:30,in-test
22.35,10:32:31,in-test
22.35,10:32:31,in-test
22.35,10:32:31,in-test
22.35,10:32:31,in-test
22.33,10:32:32,in-test
22.33,10:32:32,in-test
22.33,10:32:32,in-test
22.33,10:32:32,in-test
22.33,10:32:33,in-test
22.33,10:32:33,in-test
22.33,10:32:33,in-test
22.33,10:32:33,in-test
22.29,10:32:34,in-test
22.29,10:32:34,in-test
22.29,10:32:34,in-test
22.29,10:32:34,in-test
22.35,10:32:35,in-test
22.35,10:32:35,in-test
22.35,10:32:35,in-test
22.35,10:32:35,in-test
22.33,10:32:36,in-test
22.33,10:32:36,in-test
22.33,10:32:36,in-test
22.33,10:32:36,in-test
22.37,10:32:37,in-test
22.37,10:32:37,in-test
22.37,10:32:37,in-test
22.37,10:32:37,in-test
22.35,10:32:38,in-test
22.35,10:32:38,in-test
22.35,10:32:38,in-test
22.35,10:32:38,in-test
22.35,10:32:39,in-test
22.35,10:32:39,in-test
