,EDA,timestamp,period,time_seconds
247,0.024345,10:29:58,in-test,61.75
248,0.024345,10:29:59,in-test,62.0
249,0.023064,10:29:59,in-test,62.25
250,0.024345,10:29:59,in-test,62.5
251,0.024345,10:29:59,in-test,62.75
252,0.024345,10:30:00,in-test,63.0
253,0.024345,10:30:00,in-test,63.25
254,0.023064,10:30:00,in-test,63.5
255,0.023064,10:30:00,in-test,63.75
256,0.021783,10:30:01,in-test,64.0
257,0.024345,10:30:01,in-test,64.25
258,0.023064,10:30:01,in-test,64.5
259,0.024345,10:30:01,in-test,64.75
260,0.026908,10:30:02,in-test,65.0
261,0.023064,10:30:02,in-test,65.25
262,0.024345,10:30:02,in-test,65.5
263,0.023064,10:30:02,in-test,65.75
264,0.021783,10:30:03,in-test,66.0
265,0.023064,10:30:03,in-test,66.25
266,0.021783,10:30:03,in-test,66.5
267,0.024345,10:30:03,in-test,66.75
268,0.023064,10:30:04,in-test,67.0
269,0.023064,10:30:04,in-test,67.25
270,0.024345,10:30:04,in-test,67.5
271,0.021783,10:30:04,in-test,67.75
272,0.023064,10:30:05,in-test,68.0
273,0.021783,10:30:05,in-test,68.25
274,0.026908,10:30:05,in-test,68.5
275,0.024345,10:30:05,in-test,68.75
276,0.021783,10:30:06,in-test,69.0
277,0.021783,10:30:06,in-test,69.25
278,0.023064,10:30:06,in-test,69.5
279,0.026908,10:30:06,in-test,69.75
280,0.023064,10:30:07,in-test,70.0
281,0.025627,10:30:07,in-test,70.25
282,0.023064,10:30:07,in-test,70.5
283,0.024345,10:30:07,in-test,70.75
284,0.024345,10:30:08,in-test,71.0
285,0.024345,10:30:08,in-test,71.25
286,0.024345,10:30:08,in-test,71.5
287,0.023064,10:30:08,in-test,71.75
288,0.021783,10:30:09,in-test,72.0
289,0.023064,10:30:09,in-test,72.25
290,0.024345,10:30:09,in-test,72.5
291,0.024345,10:30:09,in-test,72.75
292,0.023064,10:30:10,in-test,73.0
293,0.023064,10:30:10,in-test,73.25
294,0.023064,10:30:10,in-test,73.5
295,0.024345,10:30:10,in-test,73.75
296,0.025627,10:30:11,in-test,74.0
297,0.023064,10:30:11,in-test,74.25
298,0.023064,10:30:11,in-test,74.5
299,0.023064,10:30:11,in-test,74.75
300,0.024345,10:30:12,in-test,75.0
301,0.024345,10:30:12,in-test,75.25
302,0.025627,10:30:12,in-test,75.5
303,0.023064,10:30:12,in-test,75.75
304,0.024345,10:30:13,in-test,76.0
305,0.024345,10:30:13,in-test,76.25
306,0.021783,10:30:13,in-test,76.5
307,0.023064,10:30:13,in-test,76.75
308,0.023064,10:30:14,in-test,77.0
309,0.023064,10:30:14,in-test,77.25
310,0.024345,10:30:14,in-test,77.5
311,0.023064,10:30:14,in-test,77.75
312,0.023064,10:30:15,in-test,78.0
313,0.023064,10:30:15,in-test,78.25
314,0.024345,10:30:15,in-test,78.5
315,0.024345,10:30:15,in-test,78.75
316,0.024345,10:30:16,in-test,79.0
317,0.023064,10:30:16,in-test,79.25
318,0.023064,10:30:16,in-test,79.5
319,0.021783,10:30:16,in-test,79.75
320,0.024345,10:30:17,in-test,80.0
321,0.024345,10:30:17,in-test,80.25
322,0.021783,10:30:17,in-test,80.5
323,0.017939,10:30:17,in-test,80.75
