TEMP,timestamp,period,time_seconds
25.59,08:34:17,pre-test,-247.5
25.59,08:34:17,pre-test,-247.25
25.59,08:34:18,pre-test,-247.0
25.59,08:34:18,pre-test,-246.75
25.59,08:34:18,pre-test,-246.5
25.59,08:34:18,pre-test,-246.25
25.63,08:34:19,pre-test,-246.0
25.63,08:34:19,pre-test,-245.75
25.63,08:34:19,pre-test,-245.5
25.63,08:34:19,pre-test,-245.25
25.65,08:34:20,pre-test,-245.0
25.65,08:34:20,pre-test,-244.75
25.65,08:34:20,pre-test,-244.5
25.65,08:34:20,pre-test,-244.25
25.71,08:34:21,pre-test,-244.0
25.71,08:34:21,pre-test,-243.75
25.71,08:34:21,pre-test,-243.5
25.71,08:34:21,pre-test,-243.25
25.71,08:34:22,pre-test,-243.0
25.71,08:34:22,pre-test,-242.75
25.71,08:34:22,pre-test,-242.5
25.71,08:34:22,pre-test,-242.25
25.73,08:34:23,pre-test,-242.0
25.73,08:34:23,pre-test,-241.75
25.73,08:34:23,pre-test,-241.5
25.73,08:34:23,pre-test,-241.25
25.73,08:34:24,pre-test,-241.0
25.73,08:34:24,pre-test,-240.75
25.73,08:34:24,pre-test,-240.5
25.73,08:34:24,pre-test,-240.25
25.75,08:34:25,pre-test,-240.0
25.75,08:34:25,pre-test,-239.75
25.75,08:34:25,pre-test,-239.5
25.75,08:34:25,pre-test,-239.25
25.73,08:34:26,pre-test,-239.0
25.73,08:34:26,pre-test,-238.75
25.73,08:34:26,pre-test,-238.5
25.73,08:34:26,pre-test,-238.25
25.71,08:34:27,pre-test,-238.0
25.71,08:34:27,pre-test,-237.75
25.71,08:34:27,pre-test,-237.5
25.71,08:34:27,pre-test,-237.25
25.63,08:34:28,pre-test,-237.0
25.63,08:34:28,pre-test,-236.75
25.63,08:34:28,pre-test,-236.5
25.63,08:34:28,pre-test,-236.25
25.69,08:34:29,pre-test,-236.0
25.69,08:34:29,pre-test,-235.75
25.69,08:34:29,pre-test,-235.5
25.69,08:34:29,pre-test,-235.25
25.71,08:34:30,pre-test,-235.0
25.71,08:34:30,pre-test,-234.75
25.71,08:34:30,pre-test,-234.5
25.71,08:34:30,pre-test,-234.25
25.73,08:34:31,pre-test,-234.0
25.73,08:34:31,pre-test,-233.75
25.73,08:34:31,pre-test,-233.5
25.73,08:34:31,pre-test,-233.25
25.71,08:34:32,pre-test,-233.0
25.71,08:34:32,pre-test,-232.75
25.71,08:34:32,pre-test,-232.5
25.71,08:34:32,pre-test,-232.25
25.71,08:34:33,pre-test,-232.0
25.71,08:34:33,pre-test,-231.75
25.71,08:34:33,pre-test,-231.5
25.71,08:34:33,pre-test,-231.25
25.69,08:34:34,pre-test,-231.0
25.69,08:34:34,pre-test,-230.75
25.69,08:34:34,pre-test,-230.5
25.69,08:34:34,pre-test,-230.25
25.59,08:34:35,pre-test,-230.0
25.59,08:34:35,pre-test,-229.75
25.59,08:34:35,pre-test,-229.5
25.59,08:34:35,pre-test,-229.25
25.87,08:34:36,pre-test,-229.0
25.87,08:34:36,pre-test,-228.75
25.87,08:34:36,pre-test,-228.5
25.87,08:34:36,pre-test,-228.25
25.93,08:34:37,pre-test,-228.0
25.93,08:34:37,pre-test,-227.75
25.93,08:34:37,pre-test,-227.5
25.93,08:34:37,pre-test,-227.25
25.83,08:34:38,pre-test,-227.0
25.83,08:34:38,pre-test,-226.75
25.83,08:34:38,pre-test,-226.5
25.83,08:34:38,pre-test,-226.25
26.05,08:34:39,pre-test,-226.0
26.05,08:34:39,pre-test,-225.75
26.05,08:34:39,pre-test,-225.5
26.05,08:34:39,pre-test,-225.25
25.99,08:34:40,pre-test,-225.0
25.99,08:34:40,pre-test,-224.75
25.99,08:34:40,pre-test,-224.5
25.99,08:34:40,pre-test,-224.25
25.99,08:34:41,pre-test,-224.0
25.99,08:34:41,pre-test,-223.75
25.99,08:34:41,pre-test,-223.5
25.99,08:34:41,pre-test,-223.25
25.95,08:34:42,pre-test,-223.0
25.95,08:34:42,pre-test,-222.75
25.95,08:34:42,pre-test,-222.5
25.95,08:34:42,pre-test,-222.25
25.87,08:34:43,pre-test,-222.0
25.87,08:34:43,pre-test,-221.75
25.87,08:34:43,pre-test,-221.5
25.87,08:34:43,pre-test,-221.25
25.83,08:34:44,pre-test,-221.0
25.83,08:34:44,pre-test,-220.75
25.83,08:34:44,pre-test,-220.5
25.83,08:34:44,pre-test,-220.25
25.89,08:34:45,pre-test,-220.0
25.89,08:34:45,pre-test,-219.75
25.89,08:34:45,pre-test,-219.5
25.89,08:34:45,pre-test,-219.25
25.99,08:34:46,pre-test,-219.0
25.99,08:34:46,pre-test,-218.75
25.99,08:34:46,pre-test,-218.5
25.99,08:34:46,pre-test,-218.25
25.99,08:34:47,pre-test,-218.0
25.99,08:34:47,pre-test,-217.75
25.99,08:34:47,pre-test,-217.5
25.99,08:34:47,pre-test,-217.25
26.03,08:34:48,pre-test,-217.0
26.03,08:34:48,pre-test,-216.75
26.03,08:34:48,pre-test,-216.5
26.03,08:34:48,pre-test,-216.25
26.03,08:34:49,pre-test,-216.0
26.03,08:34:49,pre-test,-215.75
26.03,08:34:49,pre-test,-215.5
26.03,08:34:49,pre-test,-215.25
26.03,08:34:50,pre-test,-215.0
26.03,08:34:50,pre-test,-214.75
26.03,08:34:50,pre-test,-214.5
26.03,08:34:50,pre-test,-214.25
