HR,timestamp,period
113.57,08:23:13,pre-test
112.28,08:23:14,pre-test
111.9,08:23:15,pre-test
111.48,08:23:16,pre-test
111.08,08:23:17,pre-test
110.85,08:23:18,pre-test
110.68,08:23:19,pre-test
110.2,08:23:20,pre-test
111.1,08:23:21,pre-test
110.72,08:23:22,pre-test
111.67,08:23:23,pre-test
111.28,08:23:24,pre-test
112.23,08:23:25,pre-test
112.23,08:23:26,pre-test
111.87,08:23:27,pre-test
112.92,08:23:28,pre-test
112.87,08:23:29,pre-test
112.77,08:23:30,pre-test
112.65,08:23:31,pre-test
112.62,08:23:32,pre-test
113.32,08:23:33,pre-test
112.68,08:23:34,pre-test
113.38,08:23:35,pre-test
112.5,08:23:36,pre-test
113.18,08:23:37,pre-test
112.15,08:23:38,pre-test
111.55,08:23:39,pre-test
110.95,08:23:40,pre-test
110.32,08:23:41,pre-test
110.97,08:23:42,pre-test
110.03,08:23:43,pre-test
110.73,08:23:44,pre-test
109.82,08:23:45,pre-test
110.52,08:23:46,pre-test
109.63,08:23:47,pre-test
110.78,08:23:48,pre-test
110.35,08:23:49,pre-test
111.47,08:23:50,pre-test
110.98,08:23:51,pre-test
111.62,08:23:52,pre-test
112.47,08:23:53,pre-test
111.93,08:23:54,pre-test
112.9,08:23:55,pre-test
112.27,08:23:56,pre-test
113.18,08:23:57,pre-test
112.53,08:23:58,pre-test
113.38,08:23:59,pre-test
112.67,08:24:00,pre-test
113.52,08:24:01,pre-test
112.67,08:24:02,pre-test
113.42,08:24:03,pre-test
112.6,08:24:04,pre-test
113.4,08:24:05,pre-test
112.58,08:24:06,pre-test
113.4,08:24:07,pre-test
112.53,08:24:08,pre-test
113.33,08:24:09,pre-test
112.47,08:24:10,pre-test
113.25,08:24:11,pre-test
112.37,08:24:12,pre-test
112.53,08:24:13,pre-test
112.8,08:24:14,pre-test
113.0,08:24:15,pre-test
113.25,08:24:16,pre-test
113.47,08:24:17,pre-test
113.65,08:24:18,pre-test
113.85,08:24:19,pre-test
114.32,08:24:20,pre-test
113.43,08:24:21,pre-test
113.83,08:24:22,pre-test
112.97,08:24:23,pre-test
113.45,08:24:24,pre-test
112.6,08:24:25,pre-test
112.72,08:24:26,pre-test
113.2,08:24:27,pre-test
112.27,08:24:28,pre-test
112.43,08:24:29,pre-test
112.62,08:24:30,pre-test
112.83,08:24:31,pre-test
113.03,08:24:32,pre-test
113.25,08:24:33,pre-test
113.08,08:24:34,pre-test
112.9,08:24:35,pre-test
112.73,08:24:36,pre-test
112.53,08:24:37,pre-test
112.5,08:24:38,pre-test
112.45,08:24:39,pre-test
112.4,08:24:40,pre-test
112.37,08:24:41,pre-test
112.32,08:24:42,pre-test
112.28,08:24:43,pre-test
112.3,08:24:44,pre-test
112.33,08:24:45,pre-test
112.42,08:24:46,pre-test
112.47,08:24:47,pre-test
