time_seconds,EDA_min,EDA_max
4230.5,0.029474,0.813883
4230.75,0.0346,0.82157
4231.0,0.04357,0.833101
4231.25,0.047415,0.840788
4231.5,0.046133,0.844631
4231.75,0.046133,0.849756
4232.0,0.065356,0.857443
4232.25,0.044852,0.852319
4232.5,0.041008,0.854881
4232.75,0.021785,0.851037
4233.0,0.014096,0.851037
4233.25,0.02563,0.847194
4233.5,0.061511,0.849756
4233.75,0.030756,0.845913
4234.0,0.016659,0.84335
4234.25,0.005126,0.849756
4234.5,0.003844,0.847194
4234.75,0.005126,0.842069
4235.0,0.005126,0.847194
4235.25,0.005126,0.844631
4235.5,0.005126,0.842069
4235.75,0.006407,0.839507
4236.0,0.00897,0.838226
4236.25,0.011533,0.835663
4236.5,0.007689,0.834382
4236.75,0.003844,0.829257
4237.0,0.005126,0.830539
4237.25,0.005126,0.826695
4237.5,0.002563,0.829257
4237.75,0.003844,0.825414
4238.0,0.005126,0.815164
4238.25,0.005126,0.816446
4238.5,0.001281,0.827976
4238.75,0.005126,0.813883
4239.0,0.002563,0.820289
4239.25,0.003844,0.83182
4239.5,0.015378,0.839507
4239.75,0.005126,0.836944
4240.0,0.005126,0.8536
4240.25,0.005126,0.868974
4240.5,0.003844,0.87538
4240.75,0.005126,0.883067
4241.0,0.005126,0.89716
4241.25,0.002563,0.90869
4241.5,0.005126,0.91894
4241.75,0.005126,0.922783
4242.0,0.003844,0.929189
4242.25,0.005126,0.931751
4242.5,0.006407,0.93047
4242.75,0.003844,0.933033
4243.0,0.005126,0.927908
4243.25,0.002563,0.926627
4243.5,0.005126,0.916377
4243.75,0.003844,0.913815
4244.0,0.003844,0.913815
4244.25,0.079452,0.907409
4244.5,0.125586,0.903566
4244.75,0.056385,0.898441
4245.0,0.042289,0.894597
4245.25,0.033319,0.888191
4245.5,0.007689,0.884348
4245.75,0.002563,0.880504
4246.0,0.006407,0.877942
4246.25,0.006407,0.874099
4246.5,0.003844,0.874099
4246.75,0.030756,0.871536
4247.0,0.055104,0.871536
4247.25,0.105082,0.866411
4247.5,0.114052,0.866411
4247.75,0.006407,0.863849
4248.0,0.007689,0.860006
4248.25,0.005126,0.857443
4248.5,0.006407,0.856162
4248.75,0.038445,0.861287
4249.0,0.046133,0.856162
4249.25,0.057667,0.8536
4249.5,0.070482,0.8536
4249.75,0.088422,0.867693
4250.0,0.112771,0.866411
4250.25,0.167875,0.851037
4250.5,0.199912,0.851037
4250.75,0.206307,0.845913
4251.0,0.207588,0.849756
4251.25,0.20887,0.852319
4251.5,0.207588,0.870255
4251.75,0.206307,0.868974
4252.0,0.206307,0.868974
4252.25,0.205025,0.867693
4252.5,0.202463,0.874099
4252.75,0.201181,0.870255
4253.0,0.198618,0.870255
4253.25,0.192211,0.862568
4253.5,0.192211,0.858724
4253.75,0.194774,0.857443
4254.0,0.197337,0.851037
4254.25,0.202463,0.848475
4254.5,0.202463,0.844631
4254.75,0.205025,0.847194
4255.0,0.203744,0.840788
4255.25,0.205025,0.848475
4255.5,0.205025,0.839507
4255.75,0.205025,0.842069
4256.0,0.205025,0.840788
4256.25,0.205025,0.844631
4256.5,0.205025,0.844631
4256.75,0.206307,0.845913
4257.0,0.206307,0.847194
4257.25,0.206307,0.845913
4257.5,0.205025,0.845913
4257.75,0.206307,0.845913
4258.0,0.205025,0.847194
4258.25,0.205025,0.839507
4258.5,0.207588,0.836944
4258.75,0.207588,0.835663
4259.0,0.206307,0.83182
4259.25,0.205025,0.827976
4259.5,0.205025,0.829257
4259.75,0.205025,0.827976
4260.0,0.205025,0.827976
4260.25,0.206307,0.822851
4260.5,0.20887,0.820289
4260.75,0.205025,0.819008
4261.0,0.080734,0.817727
4261.25,0.003844,0.819008
4261.5,0.128149,0.817727
4261.75,0.205025,0.819008
4262.0,0.205025,0.822851
4262.25,0.205025,0.825414
4262.5,0.206307,0.824133
4262.75,0.206307,0.825414
4263.0,0.205025,0.827976
4263.25,0.203744,0.826695
4263.5,0.205025,0.822851
4263.75,0.206307,0.825414
4264.0,0.205025,0.824133
4264.25,0.205025,0.82157
4264.5,0.205025,0.819008
4264.75,0.206307,0.82157
4265.0,0.207588,0.82157
4265.25,0.205025,0.827976
4265.5,0.206307,0.827976
4265.75,0.206307,0.834382
4266.0,0.206307,0.834382
4266.25,0.205025,0.834382
4266.5,0.205025,0.836944
4266.75,0.205025,0.839507
4267.0,0.207588,0.838226
4267.25,0.206307,0.834382
4267.5,0.205025,0.834382
4267.75,0.207588,0.83182
4268.0,0.206307,0.820289
4268.25,0.206307,0.816446
4268.5,0.205025,0.822851
4268.75,0.205025,0.824133
4269.0,0.206307,0.827976
4269.25,0.206307,0.824133
4269.5,0.205025,0.819008
4269.75,0.206307,0.813883
4270.0,0.201169,0.817727
4270.25,0.171698,0.813883
4270.5,0.152478,0.811321
4270.75,0.140946,0.808758
4271.0,0.138384,0.806196
4271.25,0.18323,0.806196
4271.5,0.203732,0.802353
4271.75,0.206294,0.802353
4272.0,0.205025,0.79979
4272.25,0.205025,0.79979
4272.5,0.207576,0.801071
4272.75,0.197325,0.795947
4273.0,0.206294,0.797228
4273.25,0.201169,0.797228
4273.5,0.199888,0.795947
4273.75,0.197325,0.797228
4274.0,0.197325,0.793384
4274.25,0.039709,0.790822
4274.5,0.002562,0.789541
4274.75,0.002562,0.789541
4275.0,0.171647,0.784416
4275.25,0.194762,0.789541
4275.5,0.20245,0.78826
4275.75,0.206294,0.794666
4276.0,0.207588,0.790822
4276.25,0.207576,0.792103
4276.5,0.206307,0.792103
4276.75,0.198618,0.793384
4277.0,0.19093,0.795947
4277.25,0.193493,0.801071
4277.5,0.192211,0.798509
4277.75,0.197337,0.798509
4278.0,0.203744,0.797228
4278.25,0.203744,0.798509
4278.5,0.198618,0.797228
4278.75,0.197337,0.801071
4279.0,0.134556,0.803634
4279.25,0.123023,0.81004
4279.5,0.203744,0.820289
4279.75,0.208857,0.827976
4280.0,0.210138,0.836944
4280.25,0.208857,0.844631
4280.5,0.207588,0.854881
4280.75,0.208857,0.8536
4281.0,0.208857,0.8536
4281.25,0.210151,0.851037
4281.5,0.208857,0.854881
4281.75,0.21142,0.845913
4282.0,0.210138,0.840788
4282.25,0.210138,0.839507
4282.5,0.208857,0.840788
4282.75,0.21142,0.838226
4283.0,0.210138,0.835663
4283.25,0.208857,0.836944
4283.5,0.210138,0.835663
4283.75,0.210138,0.829257
4284.0,0.210138,0.827976
4284.25,0.210138,0.82157
4284.5,0.210138,0.825414
4284.75,0.21142,0.820289
4285.0,0.21142,0.819008
4285.25,0.210138,0.816446
4285.5,0.210138,0.812602
4285.75,0.210138,0.811321
4286.0,0.210138,0.807477
4286.25,0.210138,0.801071
4286.5,0.208857,0.79979
4286.75,0.210138,0.797228
4287.0,0.210138,0.797228
4287.25,0.210138,0.795947
4287.5,0.21142,0.794666
4287.75,0.210138,0.790822
4288.0,0.208857,0.792103
4288.25,0.210138,0.789541
