time_seconds,HR_min,HR_max
129,74.27,118.38
130,74.0,118.27
131,73.75,118.33
132,73.53,117.72
133,73.32,117.15
134,73.15,116.58
135,73.02,115.98
136,72.9,115.25
137,72.78,114.5
138,72.68,113.72
139,72.58,112.92
140,72.47,112.0
141,72.42,111.7
142,72.42,111.28
143,72.4,111.28
144,72.28,111.27
145,72.15,111.23
146,71.97,111.18
147,71.72,111.28
148,71.47,111.9
149,71.08,112.55
150,70.77,113.2
151,70.45,113.83
152,70.12,114.45
153,69.77,115.08
154,69.47,115.27
155,69.22,115.12
156,69.1,114.95
157,69.12,114.77
158,69.13,114.57
159,69.48,114.17
160,69.87,113.75
161,70.27,113.58
162,70.67,113.5
163,71.03,113.4
164,71.38,113.38
165,71.78,113.13
166,72.13,112.93
167,72.47,112.82
168,72.75,112.73
169,73.0,112.7
170,73.2,112.63
171,73.4,112.4
172,73.52,112.18
173,73.68,112.0
174,73.85,111.93
175,74.03,111.83
176,74.23,112.05
177,74.5,112.25
178,74.72,112.42
179,74.97,113.15
180,75.18,112.45
181,75.3,113.22
182,74.9,113.92
183,74.5,111.93
184,74.08,111.0
185,73.67,110.23
186,73.27,109.45
187,72.87,108.68
188,72.52,108.42
189,72.13,108.15
190,71.83,108.17
191,71.48,108.42
192,71.9,108.68
193,72.28,108.92
194,72.73,109.22
195,72.88,109.52
196,72.95,109.73
197,73.0,109.93
198,73.2,110.17
199,73.25,110.42
200,73.3,110.65
201,73.33,110.23
202,73.35,109.93
203,73.37,109.17
204,73.37,108.43
205,73.35,107.7
206,73.38,107.02
207,73.43,106.45
208,73.55,105.77
209,73.65,105.05
210,73.75,104.35
211,74.0,103.6
212,74.2,102.9
213,74.43,101.8
214,74.7,101.28
215,75.0,100.92
216,75.22,100.53
217,75.5,100.23
218,75.9,99.88
219,76.3,99.55
220,76.67,99.27
221,76.83,98.98
222,76.62,98.67
223,76.4,98.27
224,76.12,97.78
225,75.85,97.53
226,75.55,97.35
227,75.23,97.17
228,74.93,97.13
229,74.6,97.37
230,74.23,97.77
231,73.9,98.18
232,73.57,98.57
233,73.42,99.05
234,73.28,99.48
235,73.15,99.9
236,72.95,100.33
237,72.68,100.63
238,72.43,100.82
239,72.22,101.07
240,71.98,101.42
241,71.77,101.65
242,71.55,101.88
243,71.43,102.12
244,71.33,102.35
245,71.25,102.73
246,71.18,103.1
247,71.12,103.45
248,70.97,103.78
249,70.98,104.07
250,71.0,104.3
251,71.0,104.58
252,71.07,104.92
253,71.15,105.28
254,71.25,105.6
255,71.33,105.9
256,71.37,106.2
257,71.35,106.52
258,71.37,106.83
259,71.38,107.07
260,71.4,107.23
261,71.4,107.42
262,71.43,107.57
263,71.47,107.8
264,71.53,108.02
265,71.62,108.25
266,71.68,108.5
267,71.75,108.6
268,71.85,108.7
269,71.9,108.77
270,71.97,108.68
271,72.0,108.62
272,72.05,108.53
273,72.15,108.37
274,72.25,108.22
275,72.35,108.12
276,72.45,108.0
277,72.55,107.87
278,72.67,107.73
279,72.7,107.63
280,72.73,107.58
281,72.82,107.63
282,72.92,107.62
283,73.03,107.6
284,73.17,107.53
285,73.28,107.52
286,73.28,107.53
287,74.25,107.73
288,75.22,107.75
289,76.18,107.68
290,77.15,107.88
291,78.12,108.1
292,79.18,108.33
293,80.07,108.53
294,80.65,108.75
295,80.27,108.97
296,79.87,109.17
297,79.8,109.35
298,79.62,109.72
299,79.4,110.05
300,79.2,110.33
301,79.15,110.63
302,79.05,110.93
303,78.98,111.2
304,78.87,111.48
305,78.7,111.8
306,78.52,112.13
307,78.37,112.47
308,78.08,112.8
309,77.7,113.12
310,77.37,113.47
311,77.03,113.82
312,76.6,114.18
313,76.18,114.53
314,75.77,114.88
315,75.35,115.18
316,74.97,115.45
317,74.67,115.68
318,74.38,115.9
319,74.1,116.07
320,73.75,116.23
321,73.4,116.35
322,73.08,116.43
323,72.77,116.57
324,72.77,116.65
325,72.8,116.65
326,72.83,116.63
327,72.88,116.62
328,72.45,116.55
329,72.0,116.52
330,71.68,116.55
331,71.42,116.57
332,71.12,116.53
333,70.83,116.57
334,70.67,116.57
335,70.55,116.52
336,70.4,116.47
337,70.4,116.45
338,70.4,116.47
339,70.43,116.45
340,70.67,116.43
341,70.88,116.33
342,71.08,116.3
343,71.3,116.25
344,71.53,116.13
345,71.83,116.0
346,72.18,115.83
347,72.65,115.48
348,73.13,115.18
349,73.88,114.9
350,74.67,114.38
351,75.27,113.83
352,75.33,113.45
353,75.57,113.38
354,75.87,113.28
355,76.15,113.23
356,76.38,113.2
357,76.37,113.03
358,76.37,112.83
359,76.35,112.65
360,76.38,112.45
361,76.43,112.27
362,76.53,112.73
363,76.58,113.32
364,76.67,113.88
365,76.77,114.37
366,76.87,114.82
367,77.02,115.08
368,77.17,115.23
369,77.28,115.32
370,77.55,115.03
371,77.85,114.78
372,78.23,114.53
373,78.6,114.2
374,78.95,113.9
375,79.28,113.6
376,79.58,113.22
377,79.8,112.82
378,80.05,112.32
379,80.25,111.8
380,80.45,111.23
381,80.7,110.85
382,80.95,110.43
383,81.13,109.93
384,81.43,109.42
385,81.78,108.98
386,82.17,108.52
387,82.55,108.05
388,82.97,107.55
389,83.42,107.13
390,83.83,106.8
391,84.17,106.52
392,84.52,106.58
393,85.1,106.7
394,85.68,106.8
395,86.08,106.93
396,86.2,107.08
397,86.32,107.3
398,86.37,107.53
399,86.2,107.83
400,86.1,108.18
401,85.98,108.48
402,85.93,108.77
403,85.85,109.1
404,85.77,109.38
405,85.6,109.67
406,85.52,109.67
407,85.45,109.5
408,85.33,109.32
409,85.25,109.22
410,85.12,109.12
411,85.07,108.8
412,85.1,108.53
413,85.13,108.22
414,85.17,108.08
415,85.12,107.98
416,85.08,107.93
417,85.08,107.9
418,85.13,107.92
419,85.18,107.92
420,85.22,107.95
421,85.22,108.08
422,85.23,108.45
423,85.27,108.8
424,85.3,109.12
425,85.2,109.38
426,85.17,109.62
427,85.1,109.88
428,85.02,110.15
429,84.87,110.32
430,84.7,110.48
431,84.48,110.63
432,84.28,110.78
433,84.08,110.92
434,83.87,111.07
435,83.58,111.18
436,83.32,111.18
437,83.07,111.13
438,82.8,111.17
439,82.53,111.95
440,82.25,112.77
441,81.92,113.62
442,81.57,114.45
443,81.28,115.37
444,80.88,116.27
445,80.42,117.13
446,79.93,118.03
447,79.45,118.92
448,78.95,119.83
449,78.42,120.73
450,77.92,121.6
451,77.53,122.5
452,77.13,123.38
453,76.68,124.1
454,76.28,124.83
455,75.9,125.52
456,75.73,126.08
457,75.45,126.52
458,75.28,126.98
459,75.13,127.47
460,75.08,127.95
461,74.98,128.48
462,74.87,128.98
463,74.75,129.45
464,74.5,129.9
465,74.28,130.37
466,74.03,130.87
467,73.75,131.32
468,73.4,131.73
469,73.1,132.12
470,72.9,132.43
471,72.67,132.73
472,72.47,132.9
473,72.27,133.18
474,72.03,133.55
475,71.75,133.2
476,71.53,132.8
477,71.35,132.42
478,71.32,131.97
479,71.4,131.47
480,71.33,130.87
481,71.3,130.33
482,71.28,129.83
483,71.3,129.15
