EDA,timestamp,period,time_seconds
0.024345,10:30:29,in-test,92.25
0.024345,10:30:29,in-test,92.5
0.023064,10:30:29,in-test,92.75
0.023064,10:30:30,in-test,93.0
0.024345,10:30:30,in-test,93.25
0.024345,10:30:30,in-test,93.5
0.024345,10:30:30,in-test,93.75
0.024345,10:30:31,in-test,94.0
0.024345,10:30:31,in-test,94.25
0.023064,10:30:31,in-test,94.5
0.024345,10:30:31,in-test,94.75
0.024345,10:30:32,in-test,95.0
0.024345,10:30:32,in-test,95.25
0.025627,10:30:32,in-test,95.5
0.023064,10:30:32,in-test,95.75
0.023064,10:30:33,in-test,96.0
0.024345,10:30:33,in-test,96.25
0.024345,10:30:33,in-test,96.5
0.023064,10:30:33,in-test,96.75
0.024345,10:30:34,in-test,97.0
0.023064,10:30:34,in-test,97.25
0.023064,10:30:34,in-test,97.5
0.025627,10:30:34,in-test,97.75
0.025627,10:30:35,in-test,98.0
0.023064,10:30:35,in-test,98.25
0.024345,10:30:35,in-test,98.5
0.024345,10:30:35,in-test,98.75
0.024345,10:30:36,in-test,99.0
0.023064,10:30:36,in-test,99.25
0.023064,10:30:36,in-test,99.5
0.023064,10:30:36,in-test,99.75
0.023064,10:30:37,in-test,100.0
0.024345,10:30:37,in-test,100.25
0.020501,10:30:37,in-test,100.5
0.023064,10:30:37,in-test,100.75
0.024345,10:30:38,in-test,101.0
0.024345,10:30:38,in-test,101.25
0.024345,10:30:38,in-test,101.5
0.023064,10:30:38,in-test,101.75
0.023064,10:30:39,in-test,102.0
0.023064,10:30:39,in-test,102.25
0.024345,10:30:39,in-test,102.5
0.023064,10:30:39,in-test,102.75
0.021783,10:30:40,in-test,103.0
0.024345,10:30:40,in-test,103.25
0.023064,10:30:40,in-test,103.5
0.023064,10:30:40,in-test,103.75
0.023064,10:30:41,in-test,104.0
0.023064,10:30:41,in-test,104.25
0.024345,10:30:41,in-test,104.5
0.024345,10:30:41,in-test,104.75
0.024345,10:30:42,in-test,105.0
0.024345,10:30:42,in-test,105.25
0.023064,10:30:42,in-test,105.5
0.024345,10:30:42,in-test,105.75
0.024345,10:30:43,in-test,106.0
0.023064,10:30:43,in-test,106.25
0.023064,10:30:43,in-test,106.5
0.025627,10:30:43,in-test,106.75
0.023064,10:30:44,in-test,107.0
0.023064,10:30:44,in-test,107.25
0.024345,10:30:44,in-test,107.5
0.024345,10:30:44,in-test,107.75
0.023064,10:30:45,in-test,108.0
0.023064,10:30:45,in-test,108.25
0.021783,10:30:45,in-test,108.5
0.024345,10:30:45,in-test,108.75
0.024345,10:30:46,in-test,109.0
0.023064,10:30:46,in-test,109.25
0.021783,10:30:46,in-test,109.5
0.024345,10:30:46,in-test,109.75
0.024345,10:30:47,in-test,110.0
0.024345,10:30:47,in-test,110.25
0.025627,10:30:47,in-test,110.5
0.024345,10:30:47,in-test,110.75
0.021783,10:30:48,in-test,111.0
0.023064,10:30:48,in-test,111.25
0.024345,10:30:48,in-test,111.5
0.024345,10:30:48,in-test,111.75
0.023064,10:30:49,in-test,112.0
0.023064,10:30:49,in-test,112.25
0.021783,10:30:49,in-test,112.5
0.023064,10:30:49,in-test,112.75
0.024345,10:30:50,in-test,113.0
0.024345,10:30:50,in-test,113.25
0.023064,10:30:50,in-test,113.5
0.023064,10:30:50,in-test,113.75
0.024345,10:30:51,in-test,114.0
0.025627,10:30:51,in-test,114.25
0.024345,10:30:51,in-test,114.5
0.023064,10:30:51,in-test,114.75
0.023064,10:30:52,in-test,115.0
0.024345,10:30:52,in-test,115.25
0.023064,10:30:52,in-test,115.5
0.024345,10:30:52,in-test,115.75
0.024345,10:30:53,in-test,116.0
