time_seconds,TEMP_min,TEMP_max
1094.75,21.45,32.45
1095.0,21.45,32.43
1095.25,21.45,32.43
1095.5,21.45,32.43
1095.75,21.45,32.43
1096.0,21.47,32.43
1096.25,21.47,32.43
1096.5,21.47,32.43
1096.75,21.47,32.43
1097.0,21.45,32.43
1097.25,21.45,32.43
1097.5,21.45,32.43
1097.75,21.45,32.43
1098.0,21.45,32.45
1098.25,21.45,32.45
1098.5,21.45,32.45
1098.75,21.45,32.45
1099.0,21.45,32.43
1099.25,21.45,32.43
1099.5,21.45,32.43
1099.75,21.45,32.43
1100.0,21.47,32.45
1100.25,21.47,32.45
1100.5,21.47,32.45
1100.75,21.47,32.45
1101.0,21.45,32.43
1101.25,21.45,32.43
1101.5,21.45,32.43
1101.75,21.45,32.43
1102.0,21.43,32.43
1102.25,21.43,32.43
1102.5,21.43,32.43
1102.75,21.43,32.43
1103.0,21.45,32.45
1103.25,21.45,32.45
1103.5,21.45,32.45
1103.75,21.45,32.45
1104.0,21.47,32.43
1104.25,21.47,32.43
1104.5,21.47,32.43
1104.75,21.47,32.43
1105.0,21.47,32.41
1105.25,21.47,32.41
1105.5,21.47,32.41
1105.75,21.47,32.41
1106.0,21.47,32.45
1106.25,21.47,32.45
1106.5,21.47,32.45
1106.75,21.47,32.45
1107.0,21.45,32.47
1107.25,21.45,32.47
1107.5,21.45,32.47
1107.75,21.45,32.47
1108.0,21.45,32.45
1108.25,21.45,32.45
1108.5,21.45,32.45
1108.75,21.45,32.45
1109.0,21.45,32.43
1109.25,21.45,32.43
1109.5,21.45,32.43
1109.75,21.45,32.43
1110.0,21.45,32.45
1110.25,21.45,32.45
1110.5,21.45,32.45
1110.75,21.45,32.45
1111.0,21.45,32.43
1111.25,21.45,32.43
1111.5,21.45,32.43
1111.75,21.45,32.43
1112.0,21.47,32.45
1112.25,21.47,32.45
1112.5,21.47,32.45
1112.75,21.47,32.45
1113.0,21.47,32.45
1113.25,21.47,32.45
1113.5,21.47,32.45
1113.75,21.47,32.45
1114.0,21.45,32.45
1114.25,21.45,32.45
1114.5,21.45,32.45
1114.75,21.45,32.45
1115.0,21.47,32.45
1115.25,21.47,32.45
1115.5,21.47,32.45
1115.75,21.47,32.45
1116.0,21.47,32.43
1116.25,21.47,32.43
1116.5,21.47,32.43
1116.75,21.47,32.43
1117.0,21.47,32.43
1117.25,21.47,32.43
1117.5,21.47,32.43
1117.75,21.47,32.43
1118.0,21.47,32.43
1118.25,21.47,32.43
1118.5,21.47,32.43
1118.75,21.47,32.43
1119.0,21.47,32.43
1119.25,21.47,32.43
1119.5,21.47,32.43
1119.75,21.47,32.43
1120.0,21.47,32.45
1120.25,21.47,32.45
1120.5,21.47,32.45
1120.75,21.47,32.45
1121.0,21.47,32.45
1121.25,21.47,32.45
1121.5,21.47,32.45
1121.75,21.47,32.45
1122.0,21.47,32.47
1122.25,21.47,32.47
1122.5,21.47,32.47
1122.75,21.47,32.47
1123.0,21.45,32.45
1123.25,21.45,32.45
1123.5,21.45,32.45
1123.75,21.45,32.45
1124.0,21.47,32.47
1124.25,21.47,32.47
1124.5,21.47,32.47
1124.75,21.47,32.47
1125.0,21.45,32.43
1125.25,21.45,32.43
1125.5,21.45,32.43
1125.75,21.45,32.43
1126.0,21.45,32.45
1126.25,21.45,32.45
1126.5,21.45,32.45
1126.75,21.45,32.45
1127.0,21.47,32.45
1127.25,21.47,32.45
1127.5,21.47,32.45
1127.75,21.47,32.45
1128.0,21.47,32.45
1128.25,21.47,32.45
1128.5,21.47,32.45
1128.75,21.47,32.45
1129.0,21.47,32.43
1129.25,21.47,32.43
1129.5,21.47,32.43
1129.75,21.47,32.43
1130.0,21.47,32.43
1130.25,21.47,32.43
1130.5,21.47,32.43
1130.75,21.47,32.43
1131.0,21.45,32.45
1131.25,21.45,32.45
1131.5,21.45,32.45
1131.75,21.45,32.45
1132.0,21.45,32.47
1132.25,21.45,32.47
1132.5,21.45,32.47
1132.75,21.45,32.47
1133.0,21.47,32.45
1133.25,21.47,32.45
1133.5,21.47,32.45
1133.75,21.47,32.45
1134.0,21.45,32.45
1134.25,21.45,32.45
1134.5,21.45,32.45
1134.75,21.45,32.45
1135.0,21.41,32.47
1135.25,21.41,32.47
1135.5,21.41,32.47
1135.75,21.41,32.47
1136.0,21.43,32.45
1136.25,21.43,32.45
1136.5,21.43,32.45
1136.75,21.43,32.45
1137.0,21.45,32.45
1137.25,21.45,32.45
1137.5,21.45,32.45
1137.75,21.45,32.45
1138.0,21.47,32.47
1138.25,21.47,32.47
1138.5,21.47,32.47
1138.75,21.47,32.47
1139.0,21.45,32.47
1139.25,21.45,32.47
1139.5,21.45,32.47
1139.75,21.45,32.47
1140.0,21.47,32.45
1140.25,21.47,32.45
1140.5,21.47,32.45
1140.75,21.47,32.45
1141.0,21.45,32.47
1141.25,21.45,32.47
1141.5,21.45,32.47
1141.75,21.45,32.47
1142.0,21.45,32.45
1142.25,21.45,32.45
1142.5,21.45,32.45
1142.75,21.45,32.45
1143.0,21.45,32.45
1143.25,21.45,32.45
1143.5,21.45,32.45
1143.75,21.45,32.45
1144.0,21.47,32.45
1144.25,21.47,32.45
1144.5,21.47,32.45
1144.75,21.47,32.45
1145.0,21.45,32.45
1145.25,21.45,32.45
1145.5,21.45,32.45
1145.75,21.45,32.45
1146.0,21.45,32.47
1146.25,21.45,32.47
1146.5,21.45,32.47
1146.75,21.45,32.47
1147.0,21.45,32.45
1147.25,21.45,32.45
1147.5,21.45,32.45
1147.75,21.45,32.45
1148.0,21.47,32.45
1148.25,21.47,32.45
1148.5,21.47,32.45
1148.75,21.47,32.45
1149.0,21.45,32.45
1149.25,21.45,32.45
1149.5,21.45,32.45
1149.75,21.45,32.45
1150.0,21.47,32.45
1150.25,21.47,32.45
1150.5,21.47,32.45
1150.75,21.47,32.45
1151.0,21.47,32.45
1151.25,21.47,32.45
1151.5,21.47,32.45
1151.75,21.47,32.45
1152.0,21.47,32.45
1152.25,21.47,32.45
1152.5,21.47,32.45
1152.75,21.47,32.45
1153.0,21.47,32.47
1153.25,21.47,32.47
1153.5,21.47,32.47
1153.75,21.47,32.47
1154.0,21.47,32.45
1154.25,21.47,32.45
1154.5,21.47,32.45
1154.75,21.47,32.45
1155.0,21.49,32.49
1155.25,21.49,32.49
1155.5,21.49,32.49
1155.75,21.49,32.49
1156.0,21.45,32.47
1156.25,21.45,32.47
1156.5,21.45,32.47
1156.75,21.45,32.47
1157.0,21.47,32.47
1157.25,21.47,32.47
1157.5,21.47,32.47
1157.75,21.47,32.47
1158.0,21.45,32.47
1158.25,21.45,32.47
1158.5,21.45,32.47
1158.75,21.45,32.47
1159.0,21.47,32.47
1159.25,21.47,32.47
1159.5,21.47,32.47
1159.75,21.47,32.47
1160.0,21.47,32.47
1160.25,21.47,32.47
1160.5,21.47,32.47
1160.75,21.47,32.47
1161.0,21.49,32.47
1161.25,21.49,32.47
1161.5,21.49,32.47
1161.75,21.49,32.47
1162.0,21.47,32.47
1162.25,21.47,32.47
1162.5,21.47,32.47
1162.75,21.47,32.47
1163.0,21.47,32.47
1163.25,21.47,32.47
1163.5,21.47,32.47
1163.75,21.47,32.47
1164.0,21.47,32.47
1164.25,21.47,32.47
1164.5,21.47,32.47
1164.75,21.47,32.47
1165.0,21.49,32.49
1165.25,21.49,32.49
1165.5,21.49,32.49
1165.75,21.49,32.49
1166.0,21.47,32.47
1166.25,21.47,32.47
1166.5,21.47,32.47
1166.75,21.47,32.47
1167.0,21.49,32.49
1167.25,21.49,32.49
1167.5,21.49,32.49
1167.75,21.49,32.49
1168.0,21.47,32.49
1168.25,21.47,32.49
1168.5,21.47,32.49
1168.75,21.47,32.49
1169.0,21.47,32.49
1169.25,21.47,32.49
1169.5,21.47,32.49
1169.75,21.47,32.49
