EDA,time_seconds,period
0.783207,-182.5,pre-test
0.781926,-182.25,pre-test
0.78577,-182.0,pre-test
0.762705,-181.75,pre-test
0.725544,-181.5,pre-test
0.724263,-181.25,pre-test
0.738358,-181.0,pre-test
0.758861,-180.75,pre-test
0.779363,-180.5,pre-test
0.797303,-180.25,pre-test
0.802428,-180.0,pre-test
0.808836,-179.75,pre-test
0.811398,-179.5,pre-test
0.810117,-179.25,pre-test
0.806273,-179.0,pre-test
0.799866,-178.75,pre-test
0.792177,-178.5,pre-test
0.78577,-178.25,pre-test
0.779363,-178.0,pre-test
0.772956,-177.75,pre-test
0.766549,-177.5,pre-test
0.763986,-177.25,pre-test
0.758861,-177.0,pre-test
0.757579,-176.75,pre-test
0.753735,-176.5,pre-test
0.755016,-176.25,pre-test
0.748609,-176.0,pre-test
0.751172,-175.75,pre-test
0.742202,-175.5,pre-test
0.743484,-175.25,pre-test
0.739639,-175.0,pre-test
0.734514,-174.75,pre-test
0.73067,-174.5,pre-test
0.728107,-174.25,pre-test
0.722981,-174.0,pre-test
0.7217,-173.75,pre-test
0.716574,-173.5,pre-test
0.714011,-173.25,pre-test
0.710167,-173.0,pre-test
0.705041,-172.75,pre-test
0.702479,-172.5,pre-test
0.702479,-172.25,pre-test
0.697353,-172.0,pre-test
0.696072,-171.75,pre-test
0.690946,-171.5,pre-test
0.690946,-171.25,pre-test
0.68582,-171.0,pre-test
0.68582,-170.75,pre-test
0.683258,-170.5,pre-test
0.684539,-170.25,pre-test
0.675569,-170.0,pre-test
0.671725,-169.75,pre-test
0.670443,-169.5,pre-test
0.670443,-169.25,pre-test
0.666599,-169.0,pre-test
0.662755,-168.75,pre-test
0.658911,-168.5,pre-test
0.657629,-168.25,pre-test
0.653785,-168.0,pre-test
0.64866,-167.75,pre-test
0.64866,-167.5,pre-test
0.646097,-167.25,pre-test
0.640971,-167.0,pre-test
0.638408,-166.75,pre-test
0.635845,-166.5,pre-test
0.632001,-166.25,pre-test
0.628157,-166.0,pre-test
0.626876,-165.75,pre-test
0.623031,-165.5,pre-test
0.619187,-165.25,pre-test
0.619187,-165.0,pre-test
0.616624,-164.75,pre-test
0.61278,-164.5,pre-test
0.610217,-164.25,pre-test
0.606373,-164.0,pre-test
0.60381,-163.75,pre-test
0.60381,-163.5,pre-test
0.606373,-163.25,pre-test
0.619187,-163.0,pre-test
0.629438,-162.75,pre-test
0.640971,-162.5,pre-test
0.64866,-162.25,pre-test
0.655067,-162.0,pre-test
0.661474,-161.75,pre-test
0.658911,-161.5,pre-test
0.656348,-161.25,pre-test
0.647378,-161.0,pre-test
0.640971,-160.75,pre-test
0.640971,-160.5,pre-test
0.629438,-160.25,pre-test
0.62175,-160.0,pre-test
0.615343,-159.75,pre-test
0.614061,-159.5,pre-test
0.608936,-159.25,pre-test
0.602529,-159.0,pre-test
0.598685,-158.75,pre-test
0.599966,-158.5,pre-test
0.598685,-158.25,pre-test
0.599966,-158.0,pre-test
0.599966,-157.75,pre-test
0.599966,-157.5,pre-test
0.599966,-157.25,pre-test
0.596122,-157.0,pre-test
0.592278,-156.75,pre-test
0.588433,-156.5,pre-test
0.582026,-156.25,pre-test
0.578182,-156.0,pre-test
0.575619,-155.75,pre-test
0.573056,-155.5,pre-test
0.538458,-155.25,pre-test
0.529489,-155.0,pre-test
0.561524,-154.75,pre-test
0.50386,-154.5,pre-test
0.492328,-154.25,pre-test
0.507705,-154.0,pre-test
0.502579,-153.75,pre-test
0.515393,-153.5,pre-test
0.517956,-153.25,pre-test
0.523081,-153.0,pre-test
0.524363,-152.75,pre-test
0.525644,-152.5,pre-test
0.524363,-152.25,pre-test
0.5218,-152.0,pre-test
0.519237,-151.75,pre-test
0.520519,-151.5,pre-test
0.515393,-151.25,pre-test
0.514112,-151.0,pre-test
0.51283,-150.75,pre-test
0.516674,-150.5,pre-test
0.511549,-150.25,pre-test
0.519237,-150.0,pre-test
0.53077,-149.75,pre-test
0.541021,-149.5,pre-test
0.547428,-149.25,pre-test
0.552554,-149.0,pre-test
0.553835,-148.75,pre-test
0.556398,-148.5,pre-test
0.555117,-148.25,pre-test
0.551272,-148.0,pre-test
0.552554,-147.75,pre-test
0.553835,-147.5,pre-test
0.549991,-147.25,pre-test
0.54871,-147.0,pre-test
0.549991,-146.75,pre-test
0.552554,-146.5,pre-test
0.560242,-146.25,pre-test
0.561524,-146.0,pre-test
0.565368,-145.75,pre-test
0.570494,-145.5,pre-test
0.566649,-145.25,pre-test
0.564087,-145.0,pre-test
0.558961,-144.75,pre-test
0.552554,-144.5,pre-test
0.553835,-144.25,pre-test
0.543584,-144.0,pre-test
0.543584,-143.75,pre-test
0.538458,-143.5,pre-test
0.533333,-143.25,pre-test
0.53077,-143.0,pre-test
0.53077,-142.75,pre-test
0.525644,-142.5,pre-test
0.526926,-142.25,pre-test
0.519237,-142.0,pre-test
0.517956,-141.75,pre-test
0.5218,-141.5,pre-test
0.529489,-141.25,pre-test
0.533333,-141.0,pre-test
0.537177,-140.75,pre-test
0.53974,-140.5,pre-test
0.541021,-140.25,pre-test
0.547428,-140.0,pre-test
0.538458,-139.75,pre-test
0.534614,-139.5,pre-test
0.533333,-139.25,pre-test
0.526926,-139.0,pre-test
0.524363,-138.75,pre-test
0.519237,-138.5,pre-test
0.516674,-138.25,pre-test
0.51283,-138.0,pre-test
0.524363,-137.75,pre-test
0.528207,-137.5,pre-test
0.542303,-137.25,pre-test
0.54871,-137.0,pre-test
0.553835,-136.75,pre-test
0.552554,-136.5,pre-test
0.558961,-136.25,pre-test
0.549991,-136.0,pre-test
0.546147,-135.75,pre-test
0.543584,-135.5,pre-test
0.535896,-135.25,pre-test
0.532051,-135.0,pre-test
0.526926,-134.75,pre-test
0.529489,-134.5,pre-test
0.516674,-134.25,pre-test
0.51283,-134.0,pre-test
0.510267,-133.75,pre-test
0.516674,-133.5,pre-test
0.511549,-133.25,pre-test
0.508986,-133.0,pre-test
0.508986,-132.75,pre-test
0.50386,-132.5,pre-test
0.517956,-132.25,pre-test
0.493609,-132.0,pre-test
0.474388,-131.75,pre-test
0.479514,-131.5,pre-test
0.479514,-131.25,pre-test
0.476951,-131.0,pre-test
0.489765,-130.75,pre-test
0.53974,-130.5,pre-test
0.53077,-130.25,pre-test
0.53974,-130.0,pre-test
0.561524,-129.75,pre-test
0.561524,-129.5,pre-test
0.60381,-129.25,pre-test
0.615343,-129.0,pre-test
0.628157,-128.75,pre-test
0.628157,-128.5,pre-test
0.623031,-128.25,pre-test
0.565368,-128.0,pre-test
0.54871,-127.75,pre-test
0.551272,-127.5,pre-test
0.551272,-127.25,pre-test
0.553835,-127.0,pre-test
0.542303,-126.75,pre-test
0.541021,-126.5,pre-test
0.589715,-126.25,pre-test
0.606373,-126.0,pre-test
0.62175,-125.75,pre-test
0.632001,-125.5,pre-test
0.643534,-125.25,pre-test
0.649941,-125.0,pre-test
0.656348,-124.75,pre-test
0.653785,-124.5,pre-test
0.649941,-124.25,pre-test
0.647378,-124.0,pre-test
0.643534,-123.75,pre-test
0.635845,-123.5,pre-test
0.576901,-123.25,pre-test
0.571775,-123.0,pre-test
0.533333,-122.75,pre-test
0.524363,-122.5,pre-test
0.537177,-122.25,pre-test
0.50386,-122.0,pre-test
0.506423,-121.75,pre-test
0.505142,-121.5,pre-test
0.507705,-121.25,pre-test
0.505142,-121.0,pre-test
0.50386,-120.75,pre-test
0.510267,-120.5,pre-test
0.511549,-120.25,pre-test
0.510267,-120.0,pre-test
0.482076,-119.75,pre-test
0.453885,-119.5,pre-test
0.464137,-119.25,pre-test
0.473107,-119.0,pre-test
0.478232,-118.75,pre-test
0.473107,-118.5,pre-test
0.471825,-118.25,pre-test
0.473107,-118.0,pre-test
0.470544,-117.75,pre-test
0.469262,-117.5,pre-test
0.467981,-117.25,pre-test
0.462855,-117.0,pre-test
0.469262,-116.75,pre-test
0.462855,-116.5,pre-test
0.460292,-116.25,pre-test
0.459011,-116.0,pre-test
0.459011,-115.75,pre-test
0.455167,-115.5,pre-test
0.456448,-115.25,pre-test
0.453885,-115.0,pre-test
0.451323,-114.75,pre-test
0.452604,-114.5,pre-test
0.450041,-114.25,pre-test
0.450041,-114.0,pre-test
0.446197,-113.75,pre-test
0.447478,-113.5,pre-test
0.446197,-113.25,pre-test
0.446197,-113.0,pre-test
0.443634,-112.75,pre-test
0.442353,-112.5,pre-test
0.441071,-112.25,pre-test
0.441071,-112.0,pre-test
0.441071,-111.75,pre-test
0.43979,-111.5,pre-test
0.438509,-111.25,pre-test
0.438509,-111.0,pre-test
0.435946,-110.75,pre-test
0.435946,-110.5,pre-test
0.433383,-110.25,pre-test
0.434664,-110.0,pre-test
0.433383,-109.75,pre-test
0.43082,-109.5,pre-test
0.429539,-109.25,pre-test
0.428257,-109.0,pre-test
0.426976,-108.75,pre-test
0.426976,-108.5,pre-test
0.409036,-108.25,pre-test
0.369312,-108.0,pre-test
0.353936,-107.75,pre-test
0.310368,-107.5,pre-test
0.296272,-107.25,pre-test
0.293709,-107.0,pre-test
0.287302,-106.75,pre-test
0.280895,-106.5,pre-test
0.297554,-106.25,pre-test
0.300116,-106.0,pre-test
0.306524,-105.75,pre-test
0.301398,-105.5,pre-test
0.307805,-105.25,pre-test
0.307805,-105.0,pre-test
0.329589,-104.75,pre-test
0.343684,-104.5,pre-test
0.359061,-104.25,pre-test
0.355217,-104.0,pre-test
0.359061,-103.75,pre-test
0.362905,-103.5,pre-test
0.364187,-103.25,pre-test
0.362905,-103.0,pre-test
0.360343,-102.75,pre-test
0.360343,-102.5,pre-test
0.359061,-102.25,pre-test
0.359061,-102.0,pre-test
0.35778,-101.75,pre-test
0.359061,-101.5,pre-test
0.35778,-101.25,pre-test
0.352654,-101.0,pre-test
0.352654,-100.75,pre-test
0.350091,-100.5,pre-test
0.353936,-100.25,pre-test
0.351373,-100.0,pre-test
0.350091,-99.75,pre-test
0.34881,-99.5,pre-test
0.351373,-99.25,pre-test
0.344966,-99.0,pre-test
0.350091,-98.75,pre-test
0.346247,-98.5,pre-test
0.350091,-98.25,pre-test
0.353936,-98.0,pre-test
0.355217,-97.75,pre-test
0.35778,-97.5,pre-test
0.360343,-97.25,pre-test
0.359061,-97.0,pre-test
0.355217,-96.75,pre-test
0.355217,-96.5,pre-test
0.353936,-96.25,pre-test
0.359061,-96.0,pre-test
0.361624,-95.75,pre-test
0.365468,-95.5,pre-test
0.368031,-95.25,pre-test
0.371875,-95.0,pre-test
0.378282,-94.75,pre-test
0.37572,-94.5,pre-test
0.391096,-94.25,pre-test
0.384689,-94.0,pre-test
0.418006,-93.75,pre-test
0.429539,-93.5,pre-test
0.433383,-93.25,pre-test
0.432102,-93.0,pre-test
0.435946,-92.75,pre-test
0.432102,-92.5,pre-test
0.425694,-92.25,pre-test
0.426976,-92.0,pre-test
0.432102,-91.75,pre-test
0.429539,-91.5,pre-test
0.43082,-91.25,pre-test
0.434664,-91.0,pre-test
0.432102,-90.75,pre-test
0.434664,-90.5,pre-test
0.435946,-90.25,pre-test
0.429539,-90.0,pre-test
0.426976,-89.75,pre-test
0.419287,-89.5,pre-test
0.414162,-89.25,pre-test
0.407755,-89.0,pre-test
0.384689,-88.75,pre-test
0.452604,-88.5,pre-test
0.491046,-88.25,pre-test
0.491046,-88.0,pre-test
0.515393,-87.75,pre-test
0.523081,-87.5,pre-test
0.469262,-87.25,pre-test
0.460292,-87.0,pre-test
0.473107,-86.75,pre-test
0.534614,-86.5,pre-test
0.5218,-86.25,pre-test
0.543584,-86.0,pre-test
0.579463,-85.75,pre-test
0.558961,-85.5,pre-test
0.555117,-85.25,pre-test
0.511549,-85.0,pre-test
0.50386,-84.75,pre-test
0.497453,-84.5,pre-test
0.485921,-84.25,pre-test
0.455167,-84.0,pre-test
0.455167,-83.75,pre-test
0.443634,-83.5,pre-test
0.424413,-83.25,pre-test
0.416725,-83.0,pre-test
0.42185,-82.75,pre-test
0.42185,-82.5,pre-test
0.42185,-82.25,pre-test
0.423132,-82.0,pre-test
0.411599,-81.75,pre-test
0.407755,-81.5,pre-test
0.401348,-81.25,pre-test
0.400066,-81.0,pre-test
0.388534,-80.75,pre-test
0.389815,-80.5,pre-test
0.384689,-80.25,pre-test
0.387252,-80.0,pre-test
0.385971,-79.75,pre-test
0.385971,-79.5,pre-test
0.382127,-79.25,pre-test
0.378282,-79.0,pre-test
0.374438,-78.75,pre-test
0.374438,-78.5,pre-test
0.374438,-78.25,pre-test
0.369312,-78.0,pre-test
0.368031,-77.75,pre-test
0.369312,-77.5,pre-test
0.36675,-77.25,pre-test
0.377001,-77.0,pre-test
0.407755,-76.75,pre-test
0.43082,-76.5,pre-test
0.43979,-76.25,pre-test
0.480795,-76.0,pre-test
0.505142,-75.75,pre-test
0.5218,-75.5,pre-test
0.524363,-75.25,pre-test
0.51283,-75.0,pre-test
0.514112,-74.75,pre-test
0.506423,-74.5,pre-test
0.496172,-74.25,pre-test
0.491046,-74.0,pre-test
0.482076,-73.75,pre-test
0.474388,-73.5,pre-test
0.478232,-73.25,pre-test
0.473107,-73.0,pre-test
0.4667,-72.75,pre-test
0.453885,-72.5,pre-test
0.452604,-72.25,pre-test
0.450041,-72.0,pre-test
0.446197,-71.75,pre-test
0.443634,-71.5,pre-test
0.443634,-71.25,pre-test
0.441071,-71.0,pre-test
0.443634,-70.75,pre-test
0.443634,-70.5,pre-test
0.441071,-70.25,pre-test
0.433383,-70.0,pre-test
0.434664,-69.75,pre-test
0.432102,-69.5,pre-test
0.429539,-69.25,pre-test
0.424413,-69.0,pre-test
0.420569,-68.75,pre-test
0.428257,-68.5,pre-test
0.423132,-68.25,pre-test
0.424413,-68.0,pre-test
0.429539,-67.75,pre-test
